grade,region_group,task_id,score
9,MO,9.4,7.0
9,MO,9.5,6.0
9,MO,9.6,9.0
9,MO,9.7,7.0
9,MO,9.8,14.0
9,MO,9.1.1,3.0
9,MO,9.2.1,5.0
9,MO,9.3.1,0.0
9,MO,9.4.1,2.0
9,MO,9.5.1,3.0
9,MO,9.6.1,4.0
9,MO,9.7.1,5.0
9,MO,Теор,27.0
9,MO,Прак,21.0
9,MO,Блиц,22.0
9,Rest,№,29.0
9,Rest,9.1,0.0
9,Rest,9.2,0.0
9,Rest,9.3,7.0
9,Rest,9.4,8.0
9,Rest,9.5,6.0
9,Rest,9.6,8.0
9,Rest,9.7,13.0
9,Rest,9.8,3.0
9,Rest,9.1.1,5.0
9,Rest,9.2.1,4.0
9,Rest,9.3.1,1.0
9,Rest,9.4.1,2.0
9,Rest,9.5.1,3.0
9,Rest,9.6.1,5.0
9,Rest,9.7.1,5.0
9,Rest,Теор,29.0
9,Rest,Прак,16.0
9,Rest,Блиц,25.0
9,Rest,№,30.0
9,Rest,9.1,1.0
9,Rest,9.2,4.0
9,Rest,9.3,2.0
9,Rest,9.4,10.0
9,Rest,9.5,3.0
9,Rest,9.6,1.0
9,Rest,9.7,13.0
9,Rest,9.8,15.0
9,Rest,9.1.1,3.0
9,Rest,9.2.1,4.0
9,Rest,9.3.1,1.0
9,Rest,9.4.1,1.0
9,Rest,9.5.1,5.0
9,Rest,9.6.1,5.0
9,Rest,9.7.1,1.0
9,Rest,Теор,21.0
9,Rest,Прак,28.0
9,Rest,Блиц,20.0
9,Rest,№,31.0
9,Rest,9.1,0.0
9,Rest,9.2,2.0
9,Rest,9.3,2.0
9,Rest,9.4,3.0
9,Rest,9.5,4.0
9,Rest,9.6,9.0
9,Rest,9.7,12.0
9,Rest,9.8,15.0
9,Rest,9.1.1,3.0
9,Rest,9.2.1,5.0
9,Rest,9.3.1,0.0
9,Rest,9.4.1,2.0
9,Rest,9.5.1,2.0
9,Rest,9.6.1,5.0
9,Rest,9.7.1,5.0
9,Rest,Теор,20.0
9,Rest,Прак,27.0
9,Rest,Блиц,22.0
9,Rest,№,32.0
9,Rest,9.1,2.0
9,Rest,9.2,2.0
9,Rest,9.3,1.0
9,Rest,9.4,8.0
9,Rest,9.5,4.0
9,Rest,9.6,8.0
9,Rest,9.7,14.0
9,Rest,9.8,14.0
9,Rest,9.1.1,3.0
9,Rest,9.2.1,3.0
9,Rest,9.3.1,0.0
9,Rest,9.4.1,2.0
9,Rest,9.5.1,2.0
9,Rest,9.6.1,4.0
9,Rest,9.7.1,2.0
9,Rest,Теор,25.0
9,Rest,Прак,28.0
9,Rest,Блиц,16.0
9,MO,№,33.0
9,MO,9.1,1.0
9,MO,9.2,0.0
9,MO,9.3,4.0
9,MO,9.4,5.0
9,MO,9.5,6.0
9,MO,9.6,8.0
9,MO,9.7,10.0
9,MO,9.8,14.0
9,MO,9.1.1,4.0
9,MO,9.2.1,1.0
9,MO,9.3.1,5.0
9,MO,9.4.1,2.0
9,MO,9.5.1,3.0
9,MO,9.6.1,4.0
9,MO,9.7.1,2.0
9,MO,Теор,24.0
9,MO,Прак,24.0
9,MO,Блиц,21.0
9,Rest,№,34.0
9,Rest,9.1,0.0
9,Rest,9.2,6.0
9,Rest,9.3,1.0
9,Rest,9.4,8.0
9,Rest,9.5,6.0
9,Rest,9.6,6.0
9,Rest,9.7,9.0
9,Rest,9.8,7.0
9,Rest,9.1.1,3.0
9,Rest,9.2.1,3.0
9,Rest,9.3.1,5.0
9,Rest,9.4.1,4.0
9,Rest,9.5.1,1.0
9,Rest,9.6.1,4.0
9,Rest,9.7.1,3.0
9,Rest,Теор,27.0
9,Rest,Прак,16.0
9,Rest,Блиц,23.0
9,Rest,№,35.0
9,Rest,9.1,0.0
9,Rest,9.2,5.0
9,Rest,9.3,1.0
9,Rest,9.4,8.0
9,Rest,9.5,2.0
9,Rest,9.6,10.0
9,Rest,9.7,11.0
9,Rest,9.8,14.0
9,Rest,9.1.1,3.0
9,Rest,9.2.1,1.0
9,Rest,9.3.1,0.0
9,Rest,9.4.1,0.0
9,Rest,9.5.1,1.0
9,Rest,9.6.1,5.0
9,Rest,9.7.1,5.0
9,Rest,Теор,26.0
9,Rest,Прак,25.0
9,Rest,Блиц,15.0
9,Rest,№,36.0
9,Rest,9.1,0.0
9,Rest,9.2,6.0
9,Rest,9.3,0.0
9,Rest,9.4,8.0
9,Rest,9.5,5.0
9,Rest,9.6,0.0
9,Rest,9.7,15.0
9,Rest,9.8,11.0
9,Rest,9.1.1,3.0
9,Rest,9.2.1,5.0
9,Rest,9.3.1,2.0
9,Rest,9.4.1,0.0
9,Rest,9.5.1,3.0
9,Rest,9.6.1,4.0
9,Rest,9.7.1,3.0
9,Rest,Теор,19.0
9,Rest,Прак,26.0
9,Rest,Блиц,20.0
9,MO,№,37.0
9,MO,9.1,1.0
9,MO,9.2,0.0
9,MO,9.3,0.0
9,MO,9.4,7.0
9,MO,9.5,2.0
9,MO,9.6,8.0
9,MO,9.7,12.0
9,MO,9.8,15.0
9,MO,9.1.1,3.0
9,MO,9.2.1,0.0
9,MO,9.3.1,5.0
9,MO,9.4.1,2.0
9,MO,9.5.1,3.0
9,MO,9.6.1,5.0
9,MO,9.7.1,2.0
9,MO,Теор,18.0
9,MO,Прак,27.0
9,MO,Блиц,20.0
9,MO,№,38.0
9,MO,9.1,1.0
9,MO,9.2,6.0
9,MO,9.3,4.0
9,MO,9.4,0.0
9,MO,9.5,3.0
9,MO,9.6,4.0
9,MO,9.7,14.0
9,MO,9.8,11.0
9,MO,9.1.1,3.0
9,MO,9.2.1,3.0
9,MO,9.3.1,2.0
9,MO,9.4.1,2.0
9,MO,9.5.1,2.0
9,MO,9.6.1,5.0
9,MO,9.7.1,5.0
9,MO,Теор,18.0
9,MO,Прак,25.0
9,MO,Блиц,22.0
9,Rest,№,39.0
9,Rest,9.1,0.0
9,Rest,9.2,6.0
9,Rest,9.3,5.0
9,Rest,9.4,6.0
9,Rest,9.5,6.0
9,Rest,9.6,0.0
9,Rest,9.7,8.0
9,Rest,9.8,9.0
9,Rest,9.1.1,3.0
9,Rest,9.2.1,5.0
9,Rest,9.3.1,1.0
9,Rest,9.4.1,3.0
9,Rest,9.5.1,3.0
9,Rest,9.6.1,5.0
9,Rest,9.7.1,5.0
9,Rest,Теор,23.0
9,Rest,Прак,17.0
9,Rest,Блиц,25.0
9,Rest,№,40.0
9,Rest,9.1,4.0
9,Rest,9.2,10.0
9,Rest,9.3,1.0
9,Rest,9.4,1.0
9,Rest,9.5,4.0
9,Rest,9.6,2.0
9,Rest,9.7,8.0
9,Rest,9.8,11.0
9,Rest,9.1.1,4.0
9,Rest,9.2.1,3.0
9,Rest,9.3.1,5.0
9,Rest,9.4.1,0.0
9,Rest,9.5.1,4.0
9,Rest,9.6.1,5.0
9,Rest,9.7.1,3.0
9,Rest,Теор,22.0
9,Rest,Прак,19.0
9,Rest,Блиц,24.0
9,Rest,№,41.0
9,Rest,9.1,1.0
9,Rest,9.2,6.0
9,Rest,9.3,0.0
9,Rest,9.4,7.0
